country,demand
AT,7025
BE,9607
BG,4282
CH,7083
CY,494
CZ,7289
DE,59290
DK,3886
EE,932
ES,27779
FI,9366
FR,52177
GB,34924
GR,5740
HR,2030
HU,4900
IT,32607
NL,12476
IE,4272
PL,19118
PT,5701
LT,1345
RO,6616
LV,806
SI,1508
MK,760
SK,3207
NO,15254
SE,15420
