country,demand
AT,8007
BE,10630
BG,4780
CH,7745
CY,580
CZ,8185
DE,67748
DK,4446
EE,1069
ES,31223
FI,10459
FR,59693
GB,40755
GR,6496
HR,2313
HU,5424
IT,38825
NL,14028
IE,4888
PL,21590
PT,6431
LT,1536
RO,7329
LV,935
SI,1719
MK,911
SK,3550
NO,17739
SE,17797
